artist_name,track_name,release_date,genre,lyrics
Marvin Gaye,Ain't No Mountain High Enough,1967,classic,Listen baby [Verse 1: Marvin Gaye Tammi Terrell & Both] Ain't no mountain high ain't no valley low Ain't no river wide enough baby If you need me call me no matter where you are No matter how far don't worry baby Just call my name I'll be there in a hurry You don't have to worry 'cause baby there [Chorus: Marvin Gaye & Tammi Terrell] Ain't no mountain high enough Ain't no valley low enough Ain't no river wide enough To keep me from gettin' to you baby [Verse 2: Marvin Gaye Marvin Gaye & Tammi Terrell] Remember the day I set you free I told you you could always count on me darlin' From that day on I made a vow I'll be there when you want me someway somehow Oh baby there [Chorus: Marvin Gaye & Tammi Terrell] Ain't no mountain high enough Ain't no valley low enough Ain't no river wide enough To keep me from gettin' to you babe [Bridge: Marvin Gaye Tammi Terrell & Both] Oh no darlin' No wind no rain Or winter's cold Can stop me baby (No no baby) 'Cause you are my goal If you're ever in trouble I'll be there on the double Just send for me oh baby ha [Verse 3: Tammi Terrell Marvin Gaye & Both] My love is alive (Woo) way down in my heart Although we are miles apart If you ever need a helpin' hand I'll be there on the double just as fast as I can Don't you know that there [Chorus: Marvin Gaye & Tammi Terrell Tammi Terrell] Ain't no mountain high enough Ain't no valley low enough Ain't no river wide enough To keep me from gettin' to you babe Don't ya know that there Ain't no mountain high enough Ain't no valley low enough Ain't no river wide enough Ain't no mountain high enough Ain't no valley low enough
Aerosmith,Dream On,1973,classic,Frontman Steven Tyler began writing the song on his father’s Estey upright organ as a… Read More [Verse 1] Every time​ that I look in the mirror All these lines on my face gettin' clearer The past is gone It went by like dusk to dawn Isn't that the way? Everybody's got their dues in life to pay yeah [Refrain] I know nobody knows Where it comes and where it goes I know it's everybody's sin You got to lose to know how to win [Verse 2] Half my life's in books' written pages Live and learn from fools and from sages You know it's true All the things come back to you [Chorus] Sing with me sing for the year Sing for the laughter and sing for the tear Sing it with me if it's just for today Maybe tomorrow the good Lord will take you away [Instrumental Break] [Chorus] Yeah sing with me sing for the year Sing for the laughter and sing for the tear Sing it with me if it's just for today Maybe tomorrow the good Lord will take you away [Bridge] Dream on dream on Dream on dream until them dreams come true Dream on dream on Dream on dream until your dreams come true Dream on dream on Dream on dream on Dream on dream on Dream on ah [Chorus] Sing with me sing for the year Sing for the laughter and sing for the tear Sing it with me if it's just for today Maybe tomorrow the good Lord will take you away Sing with me sing for the year Sing for the laughter and sing for the tear Sing it with me if it's just for today Maybe tomorrow the good Lord will take you away
Bryan Adams,Summer Of '69,1984,classic,I got my first real six-string Bought it at the Five and Dime Played it 'til my fingers bled Was the summer of '69 [Verse 2] Me and some guys from school Had a band and we tried real hard Jimmy quit Jody got married Should've known we'd never get far [Chorus 1] Oh when I look back now That summer seemed to last forever And if I had the choice Yeah I'd always wanna be there Those were the best days of my life Hey! [Verse 3] Ain't no use in complainin' When you got a job to do Spent my evenings down at the drive-in And that's when I met you yeah [Chorus 2] Standin' on your mama's porch You told me that you'd wait forever Oh and when you held my hand I knew that it was now or never Those were the best days of my life [Refrain] Oh yeah Back in the summer of '69 oh [Bridge] Man we were killin' time We were young and restless We needed to unwind I guess nothing can last forever Forever no! Yeah! [Instrumental Break] Yeah! [Verse 4] And now the times are changin' Look at everything that's come and gone Sometimes when I play that old six-string Think about you wonder what went wrong [Chorus 3] Standin' on your mama's porch You told me that it'd last forever Oh and when you held my hand I knew that it was now or never Those were the best days of my life [Refrain] Oh yeah Back in the summer of '69 uh-huh It was the summer of '69 oh yeah Me and my baby in a '69 oh oh It was the summer summer summer of '69 Yeah
Zach Bryan,Heading South,2019,classic,Was a boy who was a dreamer and he flew so high and proud In a world full of people out to cut his young ass down No one ever understood a single word he said And they cast him to the wolves when he wasn't well and fed [Verse 2] Boys we've got a riser a riser in our midst He will get the last laugh if it's the last thing he did And he used to roll around in that red-dirt mud But now he's skippin' town and that riser's out for blood [Chorus] Don't stop goin' goin' south 'Cause they'll let you play your music real damn loud Don't stop headin' headin' south 'Cause they will understand thе words that are pourin' from your mouth [Verse 3] Then that boy he callеd his daddy to tell him what he did As the masses screamed the lyrics of a messed-up kid And then he told that old man he was never comin' back To be cut down again in a town like that [Verse 4] Then he surely came to learn people come to watch you fall He's out to make a name and a fool out of 'em all They'll never understand that boy and his kind All they comprehend is a fucking dollar sign [Chorus] So don't stop goin' goin' south 'Cause they'll let you play your music real damn loud Don't stop headin' headin' south 'Cause they will understand the words that are pourin' from your mouth [Outro] Don't stop goin' goin' south They will understand the words that are pourin' from your mouth Don't stop goin' goin' south 'Cause they'll let you scream your music real damn loud
Creedence Clearwater Revival,Fortunate Son,1969,classic,"As John Fogerty put it: Julie… Read More [Verse 1] Some folks are born made to wave the flag Ooh they're red white and blue And when the band plays ""Hail to the Chief"" Ooh they point the cannon at you Lord [Chorus] It ain't me it ain't me I ain't no senator's son son It ain't me it ain't me I ain't no fortunate one no [Verse 2] Some folks are born silver spoon in hand Lord don't they help themselves no But when the taxman come to the door Lord the house lookin' like a rummage sale yeah [Chorus] It ain't me it ain't me I ain't no millionaire's son no no It ain't me it ain't me I ain't no fortunate one no [Instrumental Break] [Verse 3] Yeah some folks inherit star-spangled eyes Ooh they send you down to war Lord And when you ask 'em ""How much should we give?"" Ooh they only answer ""More more more more"" [Chorus] It ain't me it ain't me I ain't no military son son Lord It ain't me it ain't me I ain't no fortunate one one It ain't me it ain't me I ain't no fortunate one no no no It ain't me it ain't me I ain't no fortunate son no no no It ain't me it ain't me"
Starship,Nothing's Gonna Stop Us Now,1987,classic,Lookin' in your eyes I see a paradise This world that I found is too good to be true Standin' here beside you want so much to give you This love in my heart that I'm feelin' for you [Pre-Chorus: Grace Slick] Let 'em say we're crazy I don't care 'bout that Put your hand in my hand baby don't ever look back Let the world around us just fall apart Baby we can make it if we're heart to heart [Chorus: Both] And we can build this dream together Standing strong forever Nothing's gonna stop us now And if this world runs out of lovers We'll still have each other Nothing's gonna stop us Nothing's gonna stop us now (Oh whoa) [Verse 2: Mickey Thomas] I'm so glad I found you I'm not gonna lose you Whatever it takes I will stay here with you Take it to the good times see it through the bad times Whatever it takes is what I'm gonna do [Pre-Chorus: Grace Slick] Let 'em say we're crazy What do they know? Put your arms around me Baby don't ever let go Let the world around us just fall apart Baby we can make it if we're heart to heart [Chorus: Both] And we can build this dream together Standing strong forever Nothing's gonna stop us now And if this world runs out of lovers We'll still have each other Nothing's gonna stop us Nothing's gonna stop us [Bridge: Mickey Thomas Grace Slick & Both] Ooh all that I need is you All that I ever need And all that I want to do Is hold you forever forever and ever Hey! [Chorus: Both & Grace Slick] And we can build this dream together Standing strong forever Nothing's gonna stop us now And if this world runs out of lovers We'll still have each other Nothing's gonna stop us Nothing's gonna stop us now whoa-oh-oh-oh oh [Chorus: Both & Grace Slick] And we can build this dream together Standing strong forever Nothing's gonna stop us now (Nothing's gonna stop us now) If this world runs out of lovers We'll still have each other Nothing's gonna stop us (Oh no) [Outro: Both & Grace Slick] And we can build this dream together (Hey baby) Standing strong forever (I know) Nothing's gonna stop us now (Hey baby nothing's gonna stop us) If this world runs out of lovers (Hey baby ooh hoo!) We'll still have each other (Nothing's gonna) Nothing's gonna stop us (Hey baby nothing's gonna stop us now yeah) And we can build this dream together Standing strong forever Nothing's gonna stop us now If this world runs out of lovers...
Bryan Adams,Heaven,1984,classic,Oh thinkin' about our younger years There was only you and me We were young and wild and free Now nothin' can take you away from me We've been down that road before But that's over now You keep me comin' back for more [Chorus] Baby you're all that I want When you're lyin' here in my arms I'm findin' it hard to believe We're in Heaven And love is all that I need And I found it there in your heart Isn't too hard to see We're in Heaven [Verse 2] Oh once in your life you find someone Who will turn your world around Bring you up when you're feelin' down Yeah nothin' could change what you mean to me Oh there's lots that I could say But just hold me now 'Cause our love will light the way [Chorus] And baby you're all that I want When you're lyin' here in my arms I'm finding it hard to believe We're in Heaven Yeah love is all that I need And I found it there in your heart It isn't too hard to see We're in Heaven yeah [Bridge] I've been waitin' for so long For somethin' to arrive For love to come along Now our dreams are comin' true Through the good times and the bad Yeah I'll be standin' there by you oh [Guitar Solo] [Chorus] And baby you're all that I want When you're lyin' here in my arms I'm findin' it hard to believe We're in Heaven And love is all that I need And I found it there in your heart Isn't too hard to see We're in Heaven Heaven Woh-oh-oh [Outro] You're all that I want You're all that I need
Bill Withers,Lovely Day,1977,classic,The song appeared in Bill’s 1978 album “Menagerie”. In early 1978 it reached the #30 on Billboard top 100. By the way in the end of the song Bill holds a… Read More [Verse 1] When I wake up in the mornin' love And the sunlight hurts my eyes And somethin' without warnin' love Bears heavy on my mind [Chorus] Then I look at you And the world's all right with me Just one look at you And I know it's gonna be [Post-Chorus] A lovely day (Lovely day lovely day lovely day lovely day) (Lovely day lovely day lovely day lovely day) A lovely day (Lovely day lovely day lovely day lovely day) (Lovely day lovely day lovely day lovely day) [Verse 2] When the day that lies ahead of me Seemed impossible to face When someone else instead of me Always seems to know the way [Chorus] Then I look at you And the world's all right with me Just one look at you And I know it's gonna be [Post-Chorus] A lovely day (Lovely day lovely day lovely day lovely day) (Lovely day lovely day lovely day lovely day) A lovely day (Lovely day lovely day lovely day lovely day) (Lovely day lovely day lovely day lovely day) [Verse 3] When the day that lies ahead of me Seemed impossible to face And when someone else instead of me Always seems to know the way [Chorus] Then I look at you And the world's all right with me Just one look at you And I know it's gonna be [Post-Chorus/Outro] A lovely day (Lovely day lovely day lovely day lovely day) (Lovely day lovely day lovely day lovely day) A lovely day (Lovely day lovely day lovely day lovely day) (Lovely day lovely day lovely day lovely day) (Lovely day lovely day lovely day lovely day) (Lovely day lovely day lovely day lovely day) A lovely day (Lovely day lovely day lovely day lovely day) (Lovely day lovely day lovely day lovely day) A lovely day (Lovely day lovely day lovely day lovely day) (Lovely day lovely day lovely day lovely day) A lovely day (Lovely day lovely day lovely day lovely day) (Lovely day lovely day lovely day lovely day) A lovely day (Lovely day lovely day lovely day lovely day) (Lovely day lovely day lovely day lovely day) (Lovely day lovely day lovely day lovely day) (Lovely day lovely day)
The Rolling Stones,Paint It Black,1966,classic,What’s with the comma in the… Read More [Instrumental Intro] [Verse 1] I see a red door and I want it painted black No colours anymore I want them to turn black I see the girls walk by dressed in their summer clothes I have to turn my head until my darkness goes [Verse 2] I see a line of cars and they're all painted black With flowers and my love both never to come back I see people turn their heads and quickly look away Like a newborn baby it just happens every day [Verse 3] I look inside myself and see my heart is black I see my red door I must have it painted black Maybe then I'll fade away and not have to face the facts It's not easy facing up when your whole world is black [Verse 4] No more will my green sea go turn a deeper blue I could not foresee this thing happening to you If I look hard enough into the setting sun My love will laugh with me before the morning comes [Verse 1] I see a red door and I want it painted black No colours anymore I want them to turn black I see the girls walk by dressed in their summer clothes I have to turn my head until my darkness goes [Outro] Hmm hmm hmm hmm hmm hmm hmm hmm hmm hmm hmm hmm Hmm hmm hmm hmm hmm hmm hmm hmm hmm hmm hmm hmm Hmm hmm hmm hmm hmm hmm hmm hmm hmm hmm hmm hmm Hmm hmm hmm hmm hmm hmm hmm hmm hmm hmm hmm hmm I wanna see it painted painted black Black as night black as coal I wanna see the sun blotted out from the sky I wanna see it painted painted painted Painted black yeah Hmm hmm hmm hmm hmm hmm hmm hmm hmm hmm hmm hmm Hmm hmm hmm hmm hmm hmm hmm hmm hmm hmm hmm hmm Hmm hmm hmm hmm hmm hmm hmm hmm hmm hmm hmm hmm Hmm hmm hmm hmm hmm hmm hmm hmm hmm hmm hmm hmm
Lynyrd Skynyrd,Sweet Home Alabama,1974,classic,I saw cotton And I saw black Tall white… Read More [Intro] One two three Turn it up [Verse 1] Big wheels keep on turnin' Carry me home to see my kin Singin' songs about the Southland I miss Alabamy once again And I think it's a sin yes [Verse 2] Well I heard Mr. Young sing about her (Southern man) Well I heard ol' Neil put her down Well I hope Neil Young will remember A Southern man don't need him around anyhow [Chorus] Sweet home Alabama Where the skies are so blue Sweet home Alabama Lord I'm coming home to you [Verse 3] In Birmingham they loved the governor Boo boo boo Now we all did what we could do Now Watergate does not bother me Does your conscience bother you? Tell the truth [Chorus] Sweet home Alabama Where the skies are so blue Sweet home Alabama Lord I'm coming home to you Here I come Alabama [Guitar Solo] [Bridge] Ah-ah-ah Alabama Ah-ah-ah Alabama Ah-ah-ah Alabama Ah-ah-ah Alabama [Verse 4] Now Muscle Shoals has got the Swampers And they've been known to pick a song or two (Yes they do) Lord they get me off so much They pick me up when I'm feelin' blue Well now how 'bout you? [Chorus] Sweet home Alabama Where the skies are so blue Sweet home Alabama Lord I'm coming home to you Sweet home Alabama (Oh sweet home baby) Where the skies are so blue (And the governor's true) Sweet home Alabama (Lordy) Lord I'm coming home to you Yeah yeah [Outro] Mont… Montgomery's got the answer
Pink Floyd,Another Brick in the Wall Pt. 2,1979,classic,“Part 1” had come two… Read More [Intro] [Verse 1: Roger Waters & David Gilmour] We don't need no education We don't need no thought control No dark sarcasm in the classroom Teacher leave them kids alone [Pre-Chorus: Roger Waters & David Gilmour] Hey teacher leave them kids alone [Chorus: Roger Waters & David Gilmour] All in all it's just another brick in the wall All in all you're just another brick in the wall [Verse 2: Islington Green School Students] We don't need no education We don't need no thought control No dark sarcasm in the classroom Teachers leave them kids alone [Pre-Chorus: Islington Green School Students] Hey teacher leave us kids alone! [Chorus: Islington Green School Students] All in all you're just another brick in the wall All in all you're just another brick in the wall [Guitar Solo] [Outro: Roger Waters] Wrong do it again Wrong do it again If you don't eat your meat you can't have any pudding (Wrong do it again) How can you have any pudding if you don't eat your meat? (Wrong do it again) (If you don't eat your meat) You yes you behind the bike sheds stand still laddie (If you don't eat your meat you can't have any pudding How can you have any pudding if you don't eat your meat?) (You yes you behind the bike sheds stand still laddie)
TOTO,Hold the Line,1978,classic,The song was released in 1978 on Toto’s first album “Toto.”[Verse 1] It's not in the way that you hold me It's not in the way you say you care It's not in the way you've been treatin' my friends It's not in the way that you stayed 'til the end [Pre-Chorus] It's not in the way you look Or the things that you say that you'll do [Chorus] Hold the line Love isn't always on time oh oh oh Hold the line Love isn't always on time oh oh oh [Verse 2] It's not in the words that you told me yeah It's not in the way you say you're mine ooh It's not in the way that you came back to me It's not in the way that your love set me free [Pre-Chorus] It's not in the way you look Or the things that you say that you'll do [Chorus] Hold the line Love isn't always on time oh oh oh Hold the line Love isn't always on time oh oh oh [Instrumental Break] [Verse 2] It's not in the words that you told me It's not in the way you say you're mine ooh It's not in the way that you came back to me It's not in the way that your love set me free [Pre-Chorus] It's not in the way you look Or the things that you say that you'll do [Chorus] Hold the line Love isn't always on time oh oh oh Hold the line Love isn't always on time (Love isn't always on time) Hold the line Love isn't always on time (Love isn't always love isn't always on time) Hold the line Love isn't always on time Love isn't always on time Love isn't always on time Love isn't always on time oh oh oh
Pink Floyd,Wish You Were Here,1975,classic,"""And disciplinary remains mercifully"" ""Yes and um I’m with you Derek this star nonsense"" ""Yes yes"" ""Now which is it?"" ""I am sure of it"" [Instrumental Break] [Verse 1: David Gilmour] So so you think you can tell Heaven from Hell? Blue skies from pain? Can you tell a green field from a cold steel rail? A smile from a veil? Do you think you can tell? [Verse 2: David Gilmour] Did they get you to trade your heroes for ghosts? Hot ashes for trees? Hot air for a cool breeze? Cold comfort for change? Did you exchange A walk-on part in the war for a lead role in a cage? [Instrumental Break] [Chorus: David Gilmour] How I wish how I wish you were here We're just two lost souls swimming in a fishbowl year after year Running over the same old ground what have we found? The same old fears wish you were here [Instrumental Outro]"
Bob Dylan,Knockin' On Heaven's Door,1973,classic,In the film the song plays after Sheriff Colin Baker an ally of Pat Garrett portrayed by Slim… Read More [Intro] Ooh ooh Ooh ooh [Verse 1] Mama take this badge off of me I can’t use it anymore It’s getting dark too dark to see I feel I’m knockin' upon heaven’s door [Chorus] Knock knock knockin' on heaven’s door Knock knock knockin' on heaven’s door Knock knock knockin' on heaven’s door Knock knock knockin' on heaven's door [Verse 2] Mama put my guns in the ground I can’t shoot them anymore That long black cloud is coming down I feel I’m knockin' on heaven’s door [Chorus] Knock knock knockin' on heaven’s door Knock knock knockin' on heaven’s door Knock knock knockin' on heaven’s door Knock knock knockin' on heaven's door [Outro] Ooh ooh Ooh ooh
