artist_name,track_name,release_date,genre,lyrics
Journey,Any Way You Want It,1980,classic,"Any way you want it That's the way you need it Any way you want it [Verse 1] She loves to laugh She loves to sing She does everything She loves to move She loves to groove She loves the loving things [Pre-Chorus] Ooh, all night All night Oh, every night So hold tight Hold tight Ooh, baby, hold tight Oh, she said [Chorus] Any way you want it That's the way you need it Any way you want it She said, Any way you want it That's the way you need it Any way you want it [Verse 2] I was alone I never knew What good love could do Ooh, then we touched Then we sang About the loving things [Pre-Chorus] Ooh, all night All night Oh, every night So hold tight Hold tight Ooh baby, hold tight Oh, she said [Chorus] Any way you want it That's the way you need it Any way you want it I said, any way you want it That's the way you need it Any way you want it [Interlude] [Bridge] She said ohh Hold on Hold on Hold on [Chorus] Oh, she said any way you want it That's the way you need it Any way you want it (Any way) Any way you want it That's the way you need it Any way you want it [Chorus] Oh, she said any way you want it That's the way you need it Any way you want it Any way you want it That's the way you need it Any way you want it [Chorus] Any way you want it That's the way you need it Any way you want it Any way you want it That's the way you need it Any way you want it [Chorus] (Any way) Any way you want it That's the way you need it Any way you want it (Any way) Any way you want it That's the way you need it Any way you want it [Chorus] (Any way) Any way you want it That's the way you need it Any way you want it (Any way) Any way you want it That's the way you need it Any way you want it"
Aerosmith,"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",1998-06-23,classic,"Just to hear you breathing Watch you smile while you are sleeping While you're far away and dreaming I could spend my life In this sweet surrender I could stay lost in this moment forever Every moment spent with you is a moment I treasure Don't wanna close my eyes I don't wanna fall asleep 'Cause I'd miss you, babe And I don't wanna miss a thing 'Cause even when I dream of you The sweetest dream would never do I'd still miss you, baby And I don't wanna miss a thing ♪ Lying close to you Feeling your heart beating And I'm wondering what you're drеaming Wondering if it's me you're seeing Thеn I kiss your eyes And thank God we're together And I just wanna stay with you In this moment forever, forever and ever I don't wanna close my eyes I don't wanna fall asleep 'Cause I'd miss you, baby And I don't wanna miss a thing 'Cause even when I dream of you The sweetest dream would never do I'd still miss you, baby And I don't wanna miss a thing And I don't wanna miss one smile I don't wanna miss one kiss I just wanna be with you Right here with you, just like this I just wanna hold you close I feel your heart so close to mine And just stay here in this moment For all the rest of time Yeah (yeah), yeah (yeah), yeah Don't wanna close my eyes Don't wanna fall asleep 'Cause I'd miss you, baby And I don't wanna miss a thing 'Cause even when I dream of you The sweetest dream would never do I'd still miss you, baby And I don't wanna miss a thing I don't wanna close my eyes I don't wanna fall asleep 'Cause I'd miss you, baby And I don't wanna miss a thing 'Cause even when I dream of you The sweetest dream would never do I'd still miss you, baby And I don't wanna miss a thing Don't wanna close my eyes I don't wanna fall asleep, yeah I don't wanna miss a thing"
The Alan Parsons Project,Eye In The Sky,1982-06-01,classic,"Some see the song as about a break up, or more specifically, about falling out of… Read More [Verse 1] Don't think sorry's easily said Don't try turning tables instead You've taken lots of chances before But I ain't gonna give anymore Don't ask me That's how it goes 'Cause part of me knows what you're thinking [Verse 2] Don't say words you're gonna regret Don't let the fire rush to your head I've heard the accusation before And I ain't gonna take any more Believe me The sun in your eyes Made some of the lies worth believing [Chorus] I am the eye in the sky Looking at you I can read your mind I am the maker of rules Dealing with fools I can cheat you blind And I don't need to see any more to know that I can read your mind (Looking at you) I can read your mind (Looking at you) I can read your mind (Looking at you) I can read your mind [Verse 3] Don't leave false illusion behind Don't cry, I ain't changin' my mind So find another fool like before 'Cause I ain't gonna live anymore believin' Some of the lies while all of the signs are deceiving [Chorus] I am the eye in the sky Looking at you I can read your mind I am the maker of rules Dealing with fools I can cheat you blind And I don't need to see anymore to know that I can read your mind (Looking at you) I can read your mind (Looking at you) I can read your mind (Looking at you) I can read your mind [Chorus] I am the eye in the sky Looking at you I can read your mind I am the maker of rules Dealing with fools I can cheat you blind And I don't need to see anymore to know that I can read your mind (Looking at you) I can read your mind (Looking at you) I can read your mind (Looking at you) I can read your mind [Guitar Solo]"
Pink Floyd,Hey You,1979-11-30,classic,"[Verse 1: David Gilmour] Hey, you Out there in the cold, getting lonely, getting old, can you feel me? Hey, you Standing in the aisles with itchy feet and fading smiles, can you feel me? Hey, you, don't help them to bury the light Don't give in without a fight [Verse 2: David Gilmour] Hey, you Out there on your own, sitting naked by the phone, would you touch me? Hey, you With your ear against the wall, waiting for someone to call out, would you touch me? Hey you, would you help me to carry the stone? Open your heart, I'm coming home [Guitar Solo] [Bridge: Roger Waters] But it was only fantasy The wall was too high, as you can see No matter how he tried, he could not break free And the worms ate into his brain [Breakdown] [Verse 3: Roger Waters] Hey, you Out there on the road, always doing what you're told, can you help me? Hey, you Out there beyond the wall, breaking bottles in the hall, can you help me? Hey, you, don't tell me there's no hope at all Together we stand, divided we fall [Outro: Roger Waters] (We fall, we fall, we fall, we fall, we fall, we fall, we fall, we fall...)"
Steely Dan,Do It Again,1972-11-01,classic,"[Verse 1: Donald Fagen] In the mornin' you go gunnin' For the man who stole your water And you fire 'til he is done in But they catch you at the border And the mourners are all sangin' As they drag you by your feet But the hangman isn't hangin' And they put you on the street [Chorus: Donald Fagen] Yeah, you go back, Jack, do it again Wheel turnin' 'round and 'round You go back, Jack, do it again [Verse 2: Donald Fagen] When you know she's no high climber Then you find your only friend In a room with your two timer And you're sure you're near the end Then you love a little wild one And she brings you only sorrow All the time you know she's smilin' You'll be on your knees tomorrow [Chorus: Donald Fagen] Yeah, you go back, Jack, do it again Wheel turnin' 'round and 'round You go back, Jack, do it again [Guitar Solo] [Organ Solo] [Verse 3: Donald Fagen] Now you swear and kick and beg us That you're not a gambling man Then you find you're back in Vegas With a handle in your hand Your black cards can make you money So you hide them when you're able In the land of milk and honey You must put them on the table [Outro: Donald Fagen] Yeah, you go back, Jack, do it again Wheel turnin' 'round and 'round You go back, Jack, do it again [Instrumental outro]"
Atif Aslam,Dil Diyan Gallan,2021-02-13,classic,"कच्ची डोरियों, डोरियों, डोरियों से ਮੈਨੂੰ ਤੂੰ ਬਾਂਧ ਲੇ पक्की यारीयों, यारीयों, यारीयों में ਹੋਂਦੇ ਨਾ ਫ਼ਾਸਲੇ [Pre-Chorus] ਇਹ ਨਾਰਾਜ਼ਗੀ ਕਾਗ਼ਜ਼ੀ ਸਾਰੀ ਤੇਰੀ ਮੇਰੇ ਸੋਹਣਿਆ, ਸੁਨ ਲੈ ਮੇਰੀ [Chorus] ਦਿਲ ਦੀਆਂ ਗੱਲਾਂ ਕਰਾਂਗੇ ਨਾਲ-ਨਾਲ ਬਹਿ ਕੇ ਅੱਖ ਨਾਲੇ ਅੱਖ ਨੂੰ ਮਿਲਾ ਕੇ ਦਿਲ ਦੀਆਂ ਗੱਲਾਂ, ਹਾਏ ਕਰਾਂਗੇ ਰੋਜ਼-ਰੋਜ਼ ਬਹਿ ਕੇ ਸੱਚੀਆਂ ਮੁਹੱਬਤਾਂ ਨਿਭਾ ਕੇ [Post-Chorus] ਸਤਾਏ ਮੈਨੂੰ ਕਿਉਂ? ਦਿਖਾਏ ਮੈਨੂੰ ਕਿਉਂ ਐਵੇਂ ਝੂਠੀ-ਮੂਠੀ ਰੁਸ ਕੇ, ਰੁਸਾ ਕੇ? ਦਿਲ ਦੀਆਂ ਗੱਲਾਂ, ਹਾਏ ਕਰਾਂਗੇ ਨਾਲ-ਨਾਲ ਬਹਿ ਕੇ ਅੱਖ ਨਾਲੇ ਅੱਖ ਨੂੰ ਮਿਲਾ ਕੇ [Verse 2] ਤੈਨੂੰ ਲੱਖਾਂ ਤੋਂ ਛੁਪਾ ਕੇ ਰੱਖਾਂ, ਅੱਖਾਂ 'ਤੇ ਸਜਾ ਕੇ तू है मेरी वफ़ा, रख अपना बना के ਮੈਂ ਤੇਰੇ ਲਈਆਂ, ਤੇਰੇ ਲਈਆਂ ਯਾਰਾ, ਨਾ ਪਾਵੀਂ ਕਦੇ ਦੂਰੀਆਂ, ਹਾਏ ਤੈਨੂੰ ਲੱਖਾਂ ਤੋਂ ਛੁਪਾ ਕੇ ਰੱਖਾਂ, ਅੱਖਾਂ 'ਤੇ ਸਜਾ ਕੇ तू है मेरी वफ़ा, रख अपना बना के ਮੈਂ ਤੇਰੇ ਲਈਆਂ, ਤੇਰੇ ਲਈਆਂ ਯਾਰਾ, ਨਾ ਪਾਵੀਂ ਕਦੇ ਦੂਰੀਆਂ, ਹਾਏ [Pre-Chorus] ਮੈਂ ਜੀਨਾ ਹਾਂ ਤੇਰਾ ਮੈਂ ਜੀਨਾ ਹਾਂ ਤੇਰਾ ਤੂੰ ਜੀਨਾ ਹੈ ਮੇਰਾ ਦੱਸ ਲੈਣਾ ਕੀ ਨਖ਼ਰਾ ਦਿਖਾ ਕੇ? [Chorus] ਦਿਲ ਦੀਆਂ ਗੱਲਾਂ ਕਰਾਂਗੇ ਨਾਲ-ਨਾਲ ਬਹਿ ਕੇ ਅੱਖ ਨਾਲੇ ਅੱਖ ਨੂੰ ਮਿਲਾ ਕੇ ਦਿਲ ਦੀਆਂ ਗੱਲਾਂ [Verse 3] ਰਾਤਾਂ ਕਾਲੀਆਂ, ਕਾਲੀਆਂ, ਕਾਲੀਆਂ ਨੇ मेरे दिल साँवले ਮੇਰੇ ਹਾਣੀਆ, ਹਾਣੀਆ, ਹਾਣੀਆ ਜੇ ਲੱਗੇ ਤੂੰ ਨਾ ਗਲੇ ਮੇਰਾ ਆਸਮਾਂ, ਮੌਸਮਾਂ ਦੀ ਨਾ ਸੁਨੇ कोई ख़्वाब ना पूरा बुने [Chorus] ਦਿਲ ਦੀਆਂ ਗੱਲਾਂ ਕਰਾਂਗੇ ਨਾਲ-ਨਾਲ ਬਹਿ ਕੇ ਅੱਖ ਨਾਲੇ ਅੱਖ ਨੂੰ ਮਿਲਾ ਕੇ ਪਤਾ ਹੈ ਮੈਨੂੰ ਕਿਉਂ ਛੁਪਾ ਕੇ ਦੇਖੇ ਤੂੰ मेरे नाम से नाम मिला के ਦਿਲ ਦੀਆਂ ਗੱਲਾਂ ਕਰਾਂਗੇ ਨਾਲ-ਨਾਲ ਬਹਿ ਕੇ ਅੱਖ ਨਾਲੇ ਅੱਖ ਨੂੰ ਮਿਲਾ ਕੇ ਦਿਲ ਦੀਆਂ ਗੱਲਾਂ"
John Mellencamp,Jack & Diane,1982,classic,"Little ditty 'bout Jack and Diane Two American kids growin' up in the heartland Jackie gon' be a football star Diane's debutante backseat of Jackie's car [Verse 2] Suckin' on a chili dog outside the Tastee Freez Diane's sittin' on Jackie's lap, he's got his hands between her knees Jackie say, ""Hey Diane, lets run off behind a shady tree Dribble off those Bobby Brooks, let me do what I please"" [Chorus] Say uh, oh, yeah, life goes on Long after the thrill of livin' is gone Say, oh, yeah, life goes on Long after the thrill of livin' is gone They walk on [Verse 3] Jackie sits back, collects his thoughts for the moment Scratches his head and does his best James Dean ""Well then, there Diane, we oughta run off to the city"" Diane says, ""Baby, you ain't missin' a thing"" [Chorus] But Jacky say uh, ""Oh, yeah, life goes on Long after the thrill of livin' is gone"" Oh, yeah, they say life goes on Long after the thrill of livin' is gone [Bridge] So let it rock, let it roll Let the Bible Belt come and save my soul Holdin' on to sixteen as long as you can Changes come around real soon, make us women and men [Chorus] Oh, yeah, life goes on Long after the thrill of livin' is gone Oh, yeah, they say life goes on Long after the thrill of livin' is gone [Outro] A little ditty 'bout Jack and Diane Two American kids doin' the best they can"
REO Speedwagon,Keep on Loving You,1980,classic,"You should've seen by the look in my eyes, baby There was something missing You should've known by the tone of my voice, maybe But you didn't listen You played dead But you never bled Instead you lay still in the grass All coiled up and hissing [Verse 2] And though I know all about those men Still I don't remember 'Cause it was us, baby, way before them And we're still together [Pre-Chorus] And I meant, every word I said When I said that I love you I meant that I love you forever [Chorus] And I'm gonna keep on loving you 'Cause it's the only thing I wanna do I don't wanna sleep I just wanna keep on loving you [Guitar Solo] [Pre-Chorus] And I meant, every word I said When I said that I love you I meant that I love you forever [Chorus] And I'm gonna keep on loving you 'Cause it's the only thing I wanna do I don't wanna sleep I just wanna keep on loving you Baby, I'm gonna keep on loving you 'Cause it's the only thing I wanna do I don't wanna sleep (don't wanna sleep) I just wanna keep on loving you"
Atif Aslam,Hona Tha Pyar,2011-06-05,classic,ہونا تھا پیار ہونا تھا پیار، ہوا میرے یار ہونا تھا پیار، ہوا میرے یار آئے نظر چہرے ہزار ہونا تھا پیار، ہوا میرے یار ہونا تھا پیار [Verse 1] تیرے دل کے شہر میں گھر میرا ہو گیا، ہو گیا سپنا دیکھا جو تم نے وہ میرا ہو گیا، ہو گیا ڈوبے تو یوں جیسے ہوں پار [Chorus] ہونا تھا پیار، ہوا میرے یار ہونا تھا پیار [Verse 2] تھامے دلوں کی بانہیں، ہم آتے سالوں میں، سالوں میں پائے جواب ہم نے تیرے سوالوں میں، سوالوں میں خوابوں کی ڈور ٹوٹے نہ یار [Chorus] ہونا تھا پیار (ہونا تھا پیار) ہوا میرے یار (ہوا میرے یار) ہونا تھا پیار
Ozzy Osbourne,No More Tears,1991-09-17,classic,"[Verse 1] The light in the window is a crack in the sky A stairway to darkness in the blink of an eye A levee of tears to learn she'll never be coming back The man in the dark will bring another attack Your mama told you that you're not supposed to talk to strangers Look in the mirror, tell me, do you think your life's in danger? Yeah [Chorus] No more tears (Tears, tears) No more tears (Tears, tears) No more tears (Tears, tears) No more tears (Tears, tears) [Verse 2] Another day passes as the night closes in The red light goes on to say it's time to begin I see the man around the corner waiting, can he see me? I close my eyes and wait to hear the sound of someone screaming here [Chorus] No more tears (Tears, tears) No more tears (Tears, tears) No more tears (Tears, tears) No more tears (Tears, tears) [Orchestral Interlude] [Bridge] It's just a sign of the times Going forward in reverse Still, he who laughs last Is just a hand in the bush In the bush [Instrumental Break] [Guitar Solo] [Verse 3] So now that it's over can't we just say goodbye? (Bye, bye, goodbye) I'd like to move on and make the most of the night Maybe a kiss before I leave you this way Your lips are so cold, I don't know what else to say I never wanted it to end this way, my love, my darling Believe me when I say to you in love, I think I'm falling here [Chorus] No more tears (Tears, tears) No more tears (Tears, tears) No more tears (Tears, tears) No more tears (Tears, tears) [Outro] Is just a hand in the bush (In the bush, in the bush, in the bush)"
Zach Bryan,Tourniquet,2023-08-25,classic,"There's delays on the planes out of Eastern Montana Where you told me you were leavin’ from You've been stabbed in the back and the rest of your body Won't you tell me where you’re bleedin' from? If you need a tourniquet or if you wanna turn and quit Know that I'll be by your side You bled your whole soul into things you can't control In a world you'll never satisfy [Chorus] I bandage up your body and your bones and your bad days too Take care of the blood that your love runs through I know all the damage that some days in this dark world does You were laughin' last week at somethin' I dreamed of [Interlude: Kim Hunter & Vivien Leigh] Come say hello to Stanley first Oh, no, not now, not now Well, just say hello Oh, which-which is he? Which-which one, which one is he? [Verse 2] When you finally feel the blood you spill into everybody else I'll tourniquet your toes to the ground Pull you in and hold you tight, love you through the heart of night Spring your kind ass into town You’ve been playin’ your guitar from arenas to the bars Since you were old enough to rhyme a word But your face is gettin' thinner and you’re prayin' for the winter And I heard you fucked it up with her [Chorus] I bandage up your body and your bones and your bad days too Take care of the blood that your love runs through I know all the damage that some days in this dark world does You were laughin' last evenin' at somethin’ I dreamed of [Guitar Solo] [Chorus] I bandage up your body and your bones and your bad days too Take care of the blood that your love runs through I know all the damage that some days in this dark world does She were laughin' last evenin' at somethin' I dreamed of [Outro] There's delays on the planes out of Eastern Montana Where you told me you were leavin' from You've been stabbed in the back and the rest of your body Won't you tell me where you're bleedin' from?"
